Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9954476479514416,0.9748885196456373,0.9757575757575757,0.8557004252992408,0.961352657004831,0.7880184331797235
2.0,0.9954476479514416,0.9745464050244425,0.9575757575757575,0.7903938675581823,0.9758454106280193,0.8616574796688533
3.0,0.9954476479514416,0.9745464050244425,0.9575757575757575,0.7495556525280763,0.9710144927536232,0.8352812822287068
4.0,0.9954476479514416,0.9745464050244425,0.9636363636363636,0.8032591414944356,0.961352657004831,0.7798635817731484
5.0,0.9939393939393939,0.966435900594938,0.9695121951219512,0.8163223158383982,0.9710144927536232,0.8352812822287068
SFS-PCA with 85% variance,0.9951459971490321,0.9729927270627806,0.9648115299334812,0.8030462805436667,0.9681159420289855,0.8200204118158279
