Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9984825493171472,0.991672050371572,0.9757575757575757,0.8546298361646083,0.9758454106280193,0.8616574796688533
2.0,1.0,1.0,0.9636363636363636,0.7943560850305857,0.9806763285024155,0.8902141332328525
3.0,1.0,1.0,0.9636363636363636,0.7885738643245782,0.9758454106280193,0.8613707744459169
4.0,1.0,1.0,0.9575757575757575,0.7495556525280763,0.9806763285024155,0.8902141332328525
5.0,1.0,1.0,0.9451219512195121,0.6511940823420175,0.9758454106280193,0.8613707744459169
PCA with 80% variance,0.9996965098634295,0.9983344100743144,0.9611456023651146,0.7676619040779732,0.9777777777777779,0.8729654590052786
