,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,1.0,1.0,0.9757575757575757,0.8557004252992408,0.9806763285024155,0.8902141332328525
1,2.0,1.0,1.0,0.9636363636363636,0.7943560850305857,0.9758454106280193,0.8616574796688533
2,3.0,1.0,1.0,0.9515151515151515,0.7148905044005379,0.9806763285024155,0.8902141332328525
3,4.0,1.0,1.0,0.9696969696969697,0.8263257845374696,0.9855072463768116,0.9184429296183766
4,5.0,1.0,1.0,0.9451219512195121,0.6511940823420175,0.9806763285024155,0.8902141332328525
5,Average of Baseline,1.0,1.0,0.9611456023651146,0.7684933763219702,0.9806763285024156,0.8901485617971575
