,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9984825493171472,0.991672050371572,0.9818181818181818,0.8924482146261897,0.9710144927536232,0.8319363579073622
1,2.0,0.9969650986342944,0.9830755230828111,0.9696969696969697,0.8268807530756564,0.9710144927536232,0.8319363579073622
2,3.0,0.9984825493171472,0.9915596254216124,0.9575757575757575,0.7494463484613234,0.9710144927536232,0.8319363579073622
3,4.0,0.9969650986342944,0.9830755230828111,0.9636363636363636,0.7888910898623251,0.966183574879227,0.8014568798524004
4,5.0,0.9984848484848485,0.9916734604056764,0.9573170731707317,0.7328688656189103,0.9806763285024155,0.8906989826842653
5,Average of SFS-PCA with 90% variance,0.9978760288775463,0.9882112364728967,0.9660088691796009,0.798107054328881,0.9719806763285025,0.8375929872517505
