Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9954476479514416,0.9748885196456373,0.9818181818181818,0.8924482146261897,0.966183574879227,0.8108110442004793
2.0,0.9954476479514416,0.9745464050244425,0.9636363636363636,0.8032591414944356,0.966183574879227,0.80487202971933
3.0,0.9954476479514416,0.9745464050244425,0.9515151515151515,0.7086508375349251,0.961352657004831,0.7798635817731484
4.0,0.9954476479514416,0.9745464050244425,0.9636363636363636,0.7888910898623251,0.9758454106280193,0.8616574796688533
5.0,0.9939393939393939,0.966435900594938,0.975609756097561,0.8545543621647116,0.9710144927536232,0.8352812822287068
SFS-PCA with 80% variance,0.9951459971490321,0.9729927270627806,0.9672431633407242,0.8095607291365174,0.9681159420289855,0.8184970835181036
