,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9939301972685888,0.9673350132223382,0.9696969696969697,0.8321387300435915,0.9710144927536232,0.8410138248847926
1,2.0,0.992412746585736,0.9590326845867471,0.9696969696969697,0.840638572648478,0.9565217391304348,0.7566523200476883
2,3.0,0.9969650986342944,0.9831621442076754,0.9696969696969697,0.8321387300435915,0.966183574879227,0.80487202971933
3,4.0,0.9969650986342944,0.9835216065347937,0.9757575757575757,0.8688394276629571,0.9710144927536232,0.8352812822287068
4,5.0,0.9984848484848485,0.9917825246158152,0.9573170731707317,0.7646082279107174,0.9710144927536232,0.8410138248847926
5,Average of SFS-PCA with 100% variance,0.9957515979215523,0.9769667946334739,0.9684331116038433,0.827672737661867,0.9671497584541063,0.815766656353062
