Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9969650986342944,0.9837347398492199,0.9757575757575757,0.8557004252992408,0.9806763285024155,0.8906989826842653
2.0,0.9969650986342944,0.9835216065347937,0.9636363636363636,0.7943560850305857,0.9855072463768116,0.9184429296183766
3.0,1.0,1.0,0.9515151515151515,0.7086508375349251,0.9758454106280193,0.8613707744459169
4.0,0.9954476479514416,0.975542246488021,0.9696969696969697,0.8263257845374696,0.9806763285024155,0.8906989826842653
5.0,0.996969696969697,0.9837375515602382,0.9512195121951219,0.6891355907278787,0.9855072463768116,0.9184429296183766
PCA with 100% variance,0.9972695084379455,0.9853072288864546,0.9623651145602367,0.77483374462602,0.9816425120772948,0.8959309198102401
