,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9969650986342944,0.9837347398492199,0.9757575757575757,0.8557004252992408,0.9758454106280193,0.8649697683532703
1,2.0,0.9969650986342944,0.9835216065347937,0.9696969696969697,0.8321387300435915,0.9758454106280193,0.8649697683532703
2,3.0,0.9969650986342944,0.9831621442076754,0.9575757575757575,0.7495556525280763,0.9710144927536232,0.8352812822287068
3,4.0,0.9954476479514416,0.975542246488021,0.9575757575757575,0.7553362726050307,0.9710144927536232,0.8410138248847926
4,5.0,0.9924242424242424,0.960577632102806,0.9451219512195121,0.6641895206139695,0.9855072463768116,0.9184429296183766
5,Average of PCA with 90% variance,0.9957534372557134,0.9773076738365033,0.9611456023651146,0.7713841202179819,0.9758454106280194,0.8649355146876834
