,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9969650986342944,0.9837347398492199,0.9757575757575757,0.8557004252992408,0.9806763285024155,0.8906989826842653
1,2.0,0.9969650986342944,0.9835216065347937,0.9636363636363636,0.7943560850305857,0.9806763285024155,0.8906989826842653
2,3.0,0.9984825493171472,0.9915596254216124,0.9575757575757575,0.7495556525280763,0.9758454106280193,0.8616574796688533
3,4.0,0.9954476479514416,0.975542246488021,0.9696969696969697,0.8263257845374696,0.9758454106280193,0.8649697683532703
4,5.0,0.996969696969697,0.9837375515602382,0.9512195121951219,0.6967312592424,0.9855072463768116,0.9184429296183766
5,Average of PCA with 95% variance,0.9969660183013749,0.9836191539707769,0.9635772357723578,0.7845338413275545,0.9797101449275363,0.885293628601806
