Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9848254931714719,0.9169271883824123,0.9757575757575757,0.8615771812080537,0.9710144927536232,0.8410138248847926
2.0,0.992412746585736,0.958220377501237,0.9575757575757575,0.7495556525280763,0.9758454106280193,0.8616574796688533
3.0,0.992412746585736,0.9576544344420902,0.9696969696969697,0.840638572648478,0.966183574879227,0.8186284354417489
4.0,0.9908952959028832,0.9494864326230262,0.9818181818181818,0.899510118884216,0.966183574879227,0.8186284354417489
5.0,0.9954545454545455,0.9752794874474399,0.9634146341463414,0.8049338273495636,0.966183574879227,0.8108110442004793
SFS,0.9912001655400745,0.951513584079241,0.9696526237989651,0.8312430705236775,0.9690821256038648,0.8301478439275245
