,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9954476479514416,0.9748885196456373,0.9818181818181818,0.8937703862601987,0.9710144927536232,0.8352812822287068
1,2.0,0.9954476479514416,0.9745464050244425,0.9696969696969697,0.840638572648478,0.9710144927536232,0.8352812822287068
2,3.0,0.9969650986342944,0.9830755230828111,0.9575757575757575,0.7495556525280763,0.966183574879227,0.80487202971933
3,4.0,0.9954476479514416,0.9745464050244425,0.9636363636363636,0.7943560850305857,0.9710144927536232,0.8319363579073622
4,5.0,0.9954545454545455,0.9748926641950858,0.9634146341463414,0.7922297297297297,0.9758454106280193,0.8649697683532703
5,Average of SFS-PCA with 95% variance,0.9957525175886328,0.9763899033944838,0.9672283813747228,0.8141100852394137,0.9710144927536233,0.8344681440874753
