,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9332321699544764,0.5652737420528446,0.9090909090909091,0.2619858576521717,0.9468599033816425,0.6705230497611986
1,2.0,0.9347496206373292,0.5700208469534266,0.9212121212121213,0.4650754925145691,0.9516908212560387,0.7050422314336612
2,3.0,0.9241274658573596,0.472835291287297,0.9393939393939394,0.621050439616644,0.9371980676328503,0.5967126984640562
3,4.0,0.936267071320182,0.5827390707891438,0.9212121212121213,0.4650754925145691,0.9516908212560387,0.7050422314336612
4,5.0,0.9348484848484848,0.5779190473001637,0.926829268292683,0.48088460154178364,0.9565217391304348,0.7382783655606773
5,Average of Baseline,0.9326449625235664,0.5537575996765752,0.9235476718403548,0.4588143767679475,0.9487922705314009,0.6831197153306509
