Stage,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
Baseline,1.0,1.0,0.9611456023651146,0.7684933763219702,0.9806763285024156,0.8901485617971575
PCA with 95% variance,0.9969660183013749,0.9836191539707769,0.9635772357723578,0.7845338413275545,0.9797101449275363,0.885293628601806
SFS,0.9912001655400745,0.951513584079241,0.9696526237989651,0.8312430705236775,0.9690821256038648,0.8301478439275245
SFS-PCA with 100% variance,0.9957515979215523,0.9769667946334739,0.9684331116038433,0.827672737661867,0.9671497584541063,0.815766656353062
