Stage,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
Baseline,0.9881671035085299,0.9345829646124434,0.9490169992609019,0.6873578610997619,0.9710144927536233,0.8327624051972429
PCA with 80% variance,0.9948425070124616,0.9719958667862164,0.9369179600886918,0.6084169267640709,0.9516908212560387,0.705131298296348
SFS,0.9981799788476572,0.9899979188389846,0.9551071692535107,0.723865533777981,0.9768115942028986,0.8671174265728553
SFS-PCA with 95% variance,0.9924141260863566,0.957881662442215,0.9490391722099039,0.682728538521628,0.9565217391304348,0.7372673625922583
