,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9650986342943855,0.8385576781572478,0.9454545454545454,0.7351959896359158,0.927536231884058,0.6798100363649031
1,2.0,0.9620637329286799,0.8217021024613835,0.9090909090909091,0.643454994884325,0.9420289855072463,0.7250456842431595
2,3.0,0.9620637329286799,0.8217021024613835,0.9333333333333333,0.7083860187886225,0.9420289855072463,0.7250456842431595
3,4.0,0.960546282245827,0.8161204631447415,0.9333333333333333,0.6881302907536544,0.9420289855072463,0.7250456842431595
4,5.0,0.953030303030303,0.796100554214676,0.9085365853658537,0.5230639721563413,0.927536231884058,0.6972534403682298
5,Average of SFS-PCA with 80% variance,0.960560537085575,0.8188365800878865,0.925949741315595,0.6596462532437719,0.9362318840579709,0.7104401058925223
