Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9954476479514416,0.9758547386996034,0.9212121212121213,0.4871613925951879,0.9323671497584541,0.572544723360919
2.0,0.9802731411229135,0.8969013504619371,0.9333333333333333,0.6122473116637792,0.9323671497584541,0.5560452619885199
3.0,0.9908952959028832,0.9489352000583817,0.9151515151515152,0.42322549263450837,0.927536231884058,0.521277596749835
4.0,0.9939301972685888,0.9659709326100767,0.9212121212121213,0.46666882713829894,0.9468599033816425,0.6698090010127112
5.0,0.996969696969697,0.9833047583717105,0.9390243902439024,0.5926768282840237,0.9371980676328503,0.5967126984640562
PCA with 100% variance,0.9915031958431048,0.9541933960403419,0.9259866962305987,0.5163959704631595,0.9352657004830917,0.5832778563152081
