Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9939301972685888,0.9667708753529649,0.9393939393939394,0.6352050007687232,0.961352657004831,0.7736585825818718
2.0,0.9893778452200304,0.9437696485945617,0.9333333333333333,0.6122473116637792,0.9516908212560387,0.7084090047228015
3.0,0.9954476479514416,0.9746070299318513,0.9151515151515152,0.4453347507603746,0.961352657004831,0.7704024157410697
4.0,0.9908952959028832,0.9502887326842872,0.9151515151515152,0.4928887480151764,0.9420289855072463,0.6466915535537696
5.0,0.9954545454545455,0.9748926641950858,0.9634146341463414,0.7750157099371281,0.9758454106280193,0.8613707744459169
PCA with 75% variance,0.9930211063594978,0.9620657901517502,0.9332889874353288,0.5921383042290362,0.9584541062801932,0.7521064662090859
