,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9893778452200304,0.9458856158367647,0.9454545454545454,0.7351959896359158,0.9565217391304348,0.7667117423852409
1,2.0,0.9969650986342944,0.9835216065347937,0.9272727272727272,0.5668893334769636,0.961352657004831,0.7976419741300036
2,3.0,0.9939301972685888,0.9677278695910504,0.9515151515151515,0.7678559324411617,0.961352657004831,0.7880184331797235
3,4.0,0.992412746585736,0.9600726761555415,0.9515151515151515,0.725007537924741,0.9758454106280193,0.8649697683532703
4,5.0,0.9954545454545455,0.9758589295823837,0.9451219512195121,0.715689327172,0.961352657004831,0.7880184331797235
5,Average of SFS,0.993628086632639,0.9666133395401069,0.9441759053954175,0.7021276241301564,0.9632850241545894,0.8010720702455923
