Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.992412746585736,0.9587693283990207,0.9696969696969697,0.8164265546296376,0.9565217391304348,0.7480865797698067
2.0,0.9878603945371776,0.9349176279868675,0.9757575757575757,0.8637046321364306,0.9710144927536232,0.8318439070608654
3.0,0.9908952959028832,0.9486567062979938,0.9454545454545454,0.6727855205186831,0.9710144927536232,0.8318439070608654
4.0,0.9848254931714719,0.9185125071847761,0.9393939393939394,0.6287278107452718,0.961352657004831,0.7736585825818718
5.0,0.9954545454545455,0.9752794874474399,0.9451219512195121,0.6511940823420175,0.9758454106280193,0.8613707744459169
Baseline,0.9902896951303628,0.9472271314632197,0.9550849963045085,0.7265677200744081,0.9671497584541063,0.8093607501838653
