,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9939301972685888,0.9681352578161393,0.9636363636363636,0.7923657718120806,0.9710144927536232,0.8410138248847926
1,2.0,0.9939301972685888,0.9677278695910504,0.9272727272727272,0.6694398576221887,0.961352657004831,0.7976419741300036
2,3.0,0.9954476479514416,0.975542246488021,0.9636363636363636,0.8032591414944356,0.9710144927536232,0.8410138248847926
3,4.0,0.9939301972685888,0.9677278695910504,0.9575757575757575,0.7903938675581823,0.9710144927536232,0.8352812822287068
4,5.0,0.990909090909091,0.953164096772045,0.9329268292682927,0.6297740887952791,0.9516908212560387,0.7467286566323438
5,Average of SFS-PCA with 100% variance,0.9936294661332598,0.9664594680516612,0.9490096082779009,0.7370465454564332,0.9652173913043478,0.8123359125521279
