2023-05-27 04:48:52,216 | INFO | --------------------------

2023-05-27 04:48:52,253 | INFO | Selecting 82 principal component making up 75% of the variance:

2023-05-27 04:48:52,254 | INFO | -----------------------------------------------------------------------

2023-05-27 04:48:52,256 | INFO | SFS-PCA with 75% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 04:48:52,256 | INFO | -------------------------------------------------------------------

2023-05-27 04:48:52,257 | INFO | GridSearchCV Starting:
2023-05-27 04:48:52,257 | INFO | ----------------------

2023-05-27 04:49:59,446 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2023-05-27 04:49:59,446 | INFO | ----------------------------------------

2023-05-27 04:49:59,664 | INFO | Selecting 99 principal component making up 80% of the variance:

2023-05-27 04:49:59,665 | INFO | -----------------------------------------------------------------------

2023-05-27 04:49:59,666 | INFO | SFS-PCA with 80% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 04:49:59,666 | INFO | -------------------------------------------------------------------

2023-05-27 04:49:59,666 | INFO | GridSearchCV Starting:
2023-05-27 04:49:59,667 | INFO | ----------------------

2023-05-27 04:51:13,649 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2023-05-27 04:51:13,650 | INFO | ----------------------------------------

2023-05-27 04:51:13,844 | INFO | Selecting 119 principal component making up 85% of the variance:

2023-05-27 04:51:13,844 | INFO | -----------------------------------------------------------------------

2023-05-27 04:51:13,846 | INFO | SFS-PCA with 85% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 04:51:13,846 | INFO | -------------------------------------------------------------------

2023-05-27 04:51:13,847 | INFO | GridSearchCV Starting:
2023-05-27 04:51:13,847 | INFO | ----------------------

2023-05-27 04:52:34,873 | INFO | Best parameter set: {'C': 46, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2023-05-27 04:52:34,874 | INFO | ----------------------------------------

2023-05-27 04:52:35,028 | INFO | Selecting 146 principal component making up 90% of the variance:

2023-05-27 04:52:35,029 | INFO | -----------------------------------------------------------------------

2023-05-27 04:52:35,031 | INFO | SFS-PCA with 90% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 04:52:35,031 | INFO | -------------------------------------------------------------------

2023-05-27 04:52:35,032 | INFO | GridSearchCV Starting:
2023-05-27 04:52:35,032 | INFO | ----------------------

2023-05-27 04:53:59,427 | INFO | Best parameter set: {'C': 11, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2023-05-27 04:53:59,427 | INFO | ----------------------------------------

2023-05-27 04:53:59,663 | INFO | Selecting 184 principal component making up 95% of the variance:

2023-05-27 04:53:59,664 | INFO | -----------------------------------------------------------------------
