Features Selected,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC
28.0,0.9790674575803558,0.8940389042507215,0.9466075388026607,0.7013521153009181
28.0,0.9839182415965422,0.9166582496803667,0.9429785661492979,0.6678980077729026
28.0,0.9908980549041247,0.95109089198651,0.9465853658536585,0.6825330822570428
28.0,0.9896854738584633,0.9454499640799447,0.9405321507760533,0.6655112517461705
28.0,0.9924132064192761,0.9579397690121025,0.9490169992609016,0.6851047544027506
28.0,0.9921115556168667,0.9576906609678346,0.9441685144124168,0.6537681535433995
