Features Selected,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC
28.0,0.9578286660228997,0.8026447663347636,0.95509977827051,0.7786864183546015
85.0,0.9708732238929508,0.8520934630476436,0.9611603843311161,0.7986399497567674
143.0,0.9851331218099049,0.9197247002175942,0.978159645232816,0.8774669879485855
200.0,0.9863461626891066,0.9262202324811517,0.9793717664449371,0.8844111082305558
200.0,0.9884705936451006,0.9376511437471846,0.978159645232816,0.8787709372276599
314.0,0.9915054950108061,0.9534284390464748,0.980591278640059,0.8915018571238532
