Features Selected,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC
28.0,0.9918071458132156,0.9547246021809928,0.9502660753880265,0.7165850110491891
85.0,0.999393019726859,0.9966770875352964,0.9575240206947523,0.7423018692905182
85.0,0.9990895295902883,0.9950114976096109,0.9502439024390243,0.7006130316129578
200.0,0.9990899894238285,0.9950168982846668,0.9611529933481153,0.767440475196698
200.0,0.9987860394537178,0.9932302092331244,0.9490391722099039,0.6805161097145257
200.0,0.9987860394537178,0.993243691079203,0.9550776053215078,0.7308798829432233
