,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9317147192716236,0.7273970654588632,0.8909090909090909,0.5889391871362172,0.9033816425120773,0.6564714022560675
1,2.0,0.9377845220030349,0.7368633701215326,0.9030303030303031,0.6291871996328801,0.8985507246376812,0.6259451447127441
2,3.0,0.9271623672230652,0.6957492684402566,0.9030303030303031,0.6045464497569646,0.8985507246376812,0.60567691938982
3,4.0,0.952959028831563,0.789530158510737,0.9030303030303031,0.5543199237945065,0.9516908212560387,0.7725558003046771
4,5.0,0.9303030303030303,0.7179253819297331,0.9024390243902439,0.5054600526894928,0.9033816425120773,0.6168109115927335
5,Average of PCA with 75% variance,0.9359847335264634,0.7334930488922244,0.9004878048780489,0.5764905626020121,0.9111111111111111,0.6554920356512084
