,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9787556904400607,0.8960844368614278,0.9393939393939394,0.6940819401508738,0.9516908212560387,0.7725558003046771
1,2.0,0.9848254931714719,0.9240002789435227,0.9151515151515152,0.658436327774198,0.9420289855072463,0.7402627487827654
2,3.0,0.9848254931714719,0.9240002789435227,0.9393939393939394,0.7080371275059437,0.9371980676328503,0.7252624515869751
3,4.0,0.9848254931714719,0.9240002789435227,0.9333333333333333,0.6487915954880369,0.966183574879227,0.8278853545680265
4,5.0,0.9848484848484849,0.9249089233551852,0.9329268292682927,0.6085530212995026,0.9565217391304348,0.7779080234523713
5,Average of Baseline,0.9836161309605924,0.9185988394094362,0.932039911308204,0.663580002443711,0.9507246376811593,0.768774875738963
