,Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
0,1.0,0.9468892261001517,0.7766813168801626,0.9212121212121213,0.6612203627904573,0.9178743961352657,0.6901046111835525
1,2.0,0.9408194233687405,0.7510107002960487,0.9151515151515152,0.658436327774198,0.9082125603864735,0.6478907652866862
2,3.0,0.9408194233687405,0.7459530935928099,0.9272727272727272,0.6694398576221887,0.9082125603864735,0.6478907652866862
3,4.0,0.960546282245827,0.8200884846080804,0.9030303030303031,0.5543199237945065,0.966183574879227,0.8278853545680265
4,5.0,0.953030303030303,0.796100554214676,0.9146341463414634,0.5419673976975149,0.9323671497584541,0.6941633537773405
5,Average of PCA with 80% variance,0.9484209316227525,0.7779668299183555,0.9162601626016261,0.6170767739357731,0.9265700483091788,0.7015869700204584
