Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9833080424886191,0.9080428681957344,0.9272727272727272,0.5391624469763301,0.9371980676328503,0.6103991531031228
2.0,0.9772382397572079,0.870142872541231,0.9272727272727272,0.5331247553905559,0.9565217391304348,0.7378349823440168
3.0,0.992412746585736,0.9576544344420902,0.9333333333333333,0.5960153885092898,0.9420289855072463,0.634505636379538
4.0,0.9802731411229135,0.8875838407572013,0.9333333333333333,0.5732235783943429,0.9468599033816425,0.6741170677235697
5.0,0.9818181818181818,0.9017532113286857,0.926829268292683,0.51737535230938,0.961352657004831,0.7701264558918335
PCA with 85% variance,0.9830100703545316,0.9050354454529886,0.9296082779009609,0.5517803043159798,0.9487922705314009,0.6853966590884162
