Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9893778452200304,0.9414945410660694,0.9393939393939394,0.5935024257903728,0.9420289855072463,0.634505636379538
2.0,0.9893778452200304,0.9407018389523291,0.9575757575757575,0.7553362726050307,0.966183574879227,0.80487202971933
3.0,0.992412746585736,0.9576544344420902,0.9454545454545454,0.6658932082612434,0.961352657004831,0.7704024157410697
4.0,0.9954476479514416,0.9746070299318513,0.9454545454545454,0.6660419203325829,0.9565217391304348,0.7382783655606773
5.0,0.9954545454545455,0.9749504678187342,0.9573170731707317,0.7328688656189103,0.9565217391304348,0.7382783655606773
SFS-PCA with 95% variance,0.9924141260863566,0.957881662442215,0.9490391722099039,0.682728538521628,0.9565217391304348,0.7372673625922583
