Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9969650986342944,0.9837347398492199,0.9212121212121213,0.5123399146434295,0.9516908212560387,0.7084090047228015
2.0,0.9939301972685888,0.9677278695910504,0.9393939393939394,0.6408899189387507,0.9420289855072463,0.6384972874876359
3.0,0.9969650986342944,0.9835216065347937,0.9333333333333333,0.5731700117549232,0.9420289855072463,0.6384972874876359
4.0,0.992412746585736,0.9576544344420902,0.9333333333333333,0.5823400680611635,0.9516908212560387,0.7084090047228015
5.0,0.9939393939393939,0.9673406835139277,0.9573170731707317,0.7333447204220874,0.9710144927536232,0.8318439070608654
PCA with 80% variance,0.9948425070124616,0.9719958667862164,0.9369179600886918,0.6084169267640709,0.9516908212560387,0.705131298296348
