Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9984825493171472,0.991672050371572,0.9575757575757575,0.7334789506489346,0.961352657004831,0.7704024157410697
2.0,0.9939301972685888,0.9659709326100767,0.9515151515151515,0.7087047646509187,0.9565217391304348,0.7382783655606773
3.0,0.9833080424886191,0.9095039988829253,0.9272727272727272,0.5331247553905559,0.9420289855072463,0.6466915535537696
4.0,0.9984825493171472,0.9915596254216124,0.9272727272727272,0.5215925838520059,0.9710144927536232,0.8318439070608654
5.0,0.9863636363636363,0.9235407191815659,0.9329268292682927,0.5393333877525608,0.9420289855072463,0.6337109792798157
PCA with 75% variance,0.9921133949510278,0.9564494652935505,0.9393126385809312,0.6072468884589952,0.9545893719806763,0.7241854442392396
