Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.992412746585736,0.958220377501237,0.9393939393939394,0.6180292942733996,0.9468599033816425,0.6698090010127112
2.0,0.992412746585736,0.9573557392970111,0.9575757575757575,0.7494463484613234,0.9565217391304348,0.7382783655606773
3.0,0.9893778452200304,0.9401650735695798,0.9333333333333333,0.5823400680611635,0.9468599033816425,0.6705230497611986
4.0,0.9878603945371776,0.9313424799859109,0.9272727272727272,0.5331247553905559,0.9468599033816425,0.6698090010127112
5.0,0.9939393939393939,0.966435900594938,0.9390243902439024,0.5926768282840237,0.9516908212560387,0.7050422314336612
SFS-PCA with 85% variance,0.9912006253736149,0.9507039141897353,0.9393200295639319,0.6151234588940933,0.9497584541062801,0.6906923297561919
