Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9939301972685888,0.9664621540183771,0.9333333333333333,0.5883615746399815,0.9420289855072463,0.6384972874876359
2.0,0.992412746585736,0.958220377501237,0.9333333333333333,0.5960153885092898,0.966183574879227,0.8014568798524004
3.0,0.9969650986342944,0.9835216065347937,0.9151515151515152,0.4453347507603746,0.9420289855072463,0.6384972874876359
4.0,0.9954476479514416,0.9746070299318513,0.9151515151515152,0.4453347507603746,0.9565217391304348,0.7382783655606773
5.0,0.9893939393939394,0.9409851410938654,0.926829268292683,0.4979384040146474,0.961352657004831,0.7704024157410697
PCA with 90% variance,0.9936299259667999,0.964759261816025,0.924759793052476,0.5145969737369336,0.9536231884057971,0.7174264472258839
