Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9878603945371776,0.9335417507059298,0.9636363636363636,0.7757629888675387,0.9710144927536232,0.8352812822287068
2.0,0.9863429438543247,0.9237492434625679,0.9696969696969697,0.8321387300435915,0.961352657004831,0.7736585825818718
3.0,0.9893778452200304,0.9407018389523291,0.9393939393939394,0.6287278107452718,0.9710144927536232,0.8318439070608654
4.0,0.9878603945371776,0.9326485768307016,0.9333333333333333,0.5823400680611635,0.9758454106280193,0.8613707744459169
5.0,0.9893939393939394,0.9422734131106892,0.9390243902439024,0.6178197077812442,0.9758454106280193,0.8616574796688533
Baseline,0.9881671035085299,0.9345829646124434,0.9490169992609019,0.6873578610997619,0.9710144927536233,0.8327624051972429
