Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9984825493171472,0.991672050371572,0.9212121212121213,0.4390953528953659,0.9371980676328503,0.5959003232555168
2.0,0.9969650986342944,0.9830755230828111,0.9333333333333333,0.5960153885092898,0.9227053140096618,0.46825668028409173
3.0,0.9969650986342944,0.9830755230828111,0.9272727272727272,0.5221379661255762,0.927536231884058,0.5137022625890161
4.0,0.9984825493171472,0.9915596254216124,0.9151515151515152,0.4453347507603746,0.9178743961352657,0.41881681507436685
5.0,0.9984848484848485,0.9916734604056764,0.926829268292683,0.48088460154178364,0.9468599033816425,0.6705230497611986
PCA with 100% variance,0.9978760288775466,0.9882112364728967,0.924759793052476,0.496693611966478,0.9304347826086957,0.5334398261928379
