Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9908952959028832,0.9501563130294474,0.9454545454545454,0.6643832346365336,0.9371980676328503,0.6103991531031228
2.0,0.9863429438543247,0.9229744078421483,0.9696969696969697,0.8263257845374696,0.961352657004831,0.7798635817731484
3.0,0.9939301972685888,0.9663242884153508,0.9151515151515152,0.4688817571659654,0.9323671497584541,0.572544723360919
4.0,0.9863429438543247,0.9224657771891419,0.9333333333333333,0.5731700117549232,0.9468599033816425,0.6741170677235697
5.0,0.990909090909091,0.9493830018071211,0.9451219512195121,0.6421996435421038,0.966183574879227,0.8015528969644637
SFS-PCA with 90% variance,0.9896840943578425,0.9422607576566419,0.9417516629711752,0.6349920863273991,0.9487922705314009,0.6876954845850447
