Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9908952959028832,0.9496223412292358,0.9333333333333333,0.6088001181772368,0.9565217391304348,0.7378349823440168
2.0,0.9939301972685888,0.9669051696095404,0.9636363636363636,0.7888910898623251,0.9565217391304348,0.7378349823440168
3.0,0.9863429438543247,0.9260135607841993,0.9272727272727272,0.5488047839556186,0.9468599033816425,0.6741170677235697
4.0,0.9954476479514416,0.9749462139364046,0.9454545454545454,0.6660419203325829,0.966183574879227,0.8014568798524004
5.0,0.9924242424242424,0.9587764502790646,0.9512195121951219,0.6891355907278787,0.9565217391304348,0.7378349823440168
SFS-PCA with 75% variance,0.991808065480296,0.9552527471676889,0.9441832963784182,0.6603347006111285,0.9565217391304348,0.7378157789216041
