Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9984825493171472,0.9917811096584557,0.9333333333333333,0.5407092844910676,0.9710144927536232,0.8318439070608654
2.0,0.9984825493171472,0.991672050371572,0.9515151515151515,0.7148905044005379,0.9806763285024155,0.8902141332328525
3.0,0.9984825493171472,0.991672050371572,0.9636363636363636,0.7943560850305857,0.9758454106280193,0.8616574796688533
4.0,0.9984825493171472,0.9915596254216124,0.9636363636363636,0.7943560850305857,0.9758454106280193,0.8616574796688533
5.0,0.996969696969697,0.9833047583717105,0.9634146341463414,0.7750157099371281,0.9806763285024155,0.8902141332328525
SFS,0.9981799788476572,0.9899979188389846,0.9551071692535107,0.723865533777981,0.9768115942028986,0.8671174265728553
