Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9954476479514416,0.9749462139364046,0.9333333333333333,0.5526045750649576,0.9323671497584541,0.5623797271259702
2.0,0.9954476479514416,0.9746070299318513,0.9393939393939394,0.6287278107452718,0.9420289855072463,0.6337109792798157
3.0,0.9984825493171472,0.991672050371572,0.9272727272727272,0.5331247553905559,0.9468599033816425,0.6698090010127112
4.0,0.9984825493171472,0.9915596254216124,0.9272727272727272,0.5331247553905559,0.9420289855072463,0.6337109792798157
5.0,0.990909090909091,0.9519491139707063,0.9451219512195121,0.6426357620442096,0.9516908212560387,0.7050422314336612
PCA with 95% variance,0.9957538970892538,0.9769468067264293,0.9344789356984478,0.5780435317271101,0.9429951690821256,0.6409305836263948
