Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9969650986342944,0.9833019668075184,0.9272727272727272,0.5617065259252174,0.9468599033816425,0.6698090010127112
2.0,0.9969650986342944,0.9830755230828111,0.9333333333333333,0.5960153885092898,0.9371980676328503,0.6013396364647452
3.0,0.9969650986342944,0.9830755230828111,0.9393939393939394,0.6408899189387507,0.9468599033816425,0.6698090010127112
4.0,0.9969650986342944,0.9831621442076754,0.9333333333333333,0.5823400680611635,0.9420289855072463,0.6384972874876359
5.0,1.0,1.0,0.9451219512195121,0.6426357620442096,0.9468599033816425,0.6698090010127112
SFS-PCA with 100% variance,0.9975720789074355,0.9865230314361633,0.9356910569105692,0.6047175326957263,0.9439613526570048,0.6498527853981029
