Fold,Training Accuracy,Training MCC,Validation Accuracy,Validation MCC,Test Accuracy,Test MCC
1.0,0.9939301972685888,0.9673350132223382,0.9454545454545454,0.6800426851979773,0.966183574879227,0.8014568798524004
2.0,0.9848254931714719,0.9170558588337806,0.9575757575757575,0.7553362726050307,0.9710144927536232,0.8319363579073622
3.0,0.9802731411229135,0.8969013504619371,0.896969696969697,0.4279103969998449,0.9468599033816425,0.7024935958948973
4.0,0.9878603945371776,0.9326485768307016,0.9454545454545454,0.6660419203325829,0.9710144927536232,0.8318439070608654
5.0,0.9924242424242424,0.960577632102806,0.9390243902439024,0.6032554715186293,0.9758454106280193,0.8613707744459169
SFS-PCA with 80% variance,0.9878626937048788,0.9349036862903126,0.9368957871396895,0.626517349330813,0.9661835748792271,0.8058203030322885
